Beijing Guoan,Changchun Yatai,Chongqing Lifan,Guangzhou Evergrande,Guangzhou Rich and Force,Hangzhou Greentown,Hebei China Fortune FC,Henan Jianye,Jiangsu Suning,Liaoning,Shandong Luneng,Shanghai Greenland,Shanghai SIPG,Shijiazhuang Ever Bright,Tianjin Teda,Yanbian FC
4,12,11,1,2,7,9,10,6,15,13,5,3,8,16,14
6,11,15,1,3,10,8,12,5,14,13,4,2,9,16,7
6,15,14,1,4,9,10,11,5,13,12,2,3,8,16,7
6,12,13,2,4,9,10,11,3,15,8,1,5,14,16,7
6,10,12,1,3,11,8,9,2,15,13,4,5,14,16,7
7,13,6,1,4,12,10,8,2,15,14,3,5,11,16,9
7,13,6,2,4,11,10,9,1,16,12,3,5,14,15,8
7,13,6,2,4,8,11,10,1,16,12,3,5,14,15,9
9,14,6,3,4,8,12,10,1,16,7,2,5,13,15,11
9,14,6,2,4,7,13,10,1,16,8,3,5,12,15,11
9,16,6,2,4,7,13,11,1,15,8,3,5,10,14,12
10,16,6,1,4,7,13,12,2,15,8,3,5,14,11,9
10,16,6,1,4,8,13,12,2,15,7,3,5,14,11,9
10,16,6,1,4,8,12,11,2,14,7,3,5,15,13,9
11,16,6,1,5,8,10,13,2,14,7,3,4,15,12,9
10,16,6,1,5,9,11,13,2,14,7,3,4,15,12,8
9,16,6,1,5,10,11,14,2,13,7,3,4,15,12,8
9,16,6,1,5,10,11,15,2,12,7,4,3,14,13,8
10,16,6,1,5,11,9,15,2,12,7,4,3,14,13,8
9,16,6,1,5,11,10,15,2,12,8,4,3,14,13,7
9,16,6,1,5,11,10,15,2,12,7,4,3,14,13,8
9,14,6,1,5,11,10,16,3,12,7,4,2,15,13,8
8,14,7,1,5,11,10,16,3,12,9,4,2,15,13,6
7,14,8,1,5,13,10,16,3,12,9,4,2,15,11,6
7,14,8,1,5,13,10,16,3,12,9,4,2,15,11,6
7,14,8,1,5,13,10,16,3,11,9,4,2,15,12,6
6,14,8,1,5,12,10,16,3,11,9,4,2,15,13,7
5,14,8,1,6,12,10,16,3,11,9,4,2,15,13,7
5,14,8,1,6,12,10,15,3,11,9,4,2,16,13,7
5,14,8,1,6,12,10,15,3,11,9,4,2,16,13,7
