Beitar Jerusalem,Bnei Sachnin FC,Bnei Yehuda Tel Aviv,FC Ashdod,Hapoel Ashkelon,Hapoel Beer Sheva,Hapoel Haifa,Hapoel Kfar Saba,Hapoel Raanana,Hapoel Tel Aviv,Ironi Kiryat Shmona,Maccabi Haifa,Maccabi Petach-Tikva,Maccabi Tel Aviv
1,10,13,12,14,3,9,8,11,7,6,5,2,4
3,8,6,10,14,1,13,11,12,9,4,7,5,2
4,7,9,11,14,1,8,12,13,10,3,6,5,2
5,7,8,11,14,1,9,12,13,10,3,6,4,2
5,7,8,11,14,1,9,12,13,10,4,6,3,2
4,7,8,12,14,1,9,11,13,10,5,6,3,2
4,7,8,11,14,1,9,12,13,10,5,6,3,2
5,7,8,11,14,1,9,12,13,10,4,6,3,2
6,7,8,11,14,1,9,12,13,10,4,5,3,2
5,7,9,11,14,1,8,12,13,10,4,6,3,2
5,7,9,11,14,1,8,12,13,10,4,6,3,2
5,6,8,11,14,1,9,12,13,10,4,7,3,2
5,7,8,11,14,1,10,12,13,9,4,6,3,2
5,7,8,11,13,1,9,12,14,10,4,6,3,2
5,7,9,11,13,1,8,12,14,10,4,6,3,2
6,7,9,11,13,1,8,12,14,10,4,5,3,2
6,7,9,11,14,1,8,12,13,10,4,5,3,2
6,7,10,11,14,1,8,12,13,9,4,5,3,2
6,7,10,11,14,1,8,12,13,9,5,4,3,2
6,7,10,11,14,1,8,13,12,9,5,4,3,2
6,7,10,11,14,1,8,13,12,9,5,4,3,2
6,7,10,11,14,1,8,12,13,9,5,4,3,2
4,7,10,11,14,1,8,12,13,9,6,5,3,2
4,7,10,11,14,1,8,12,13,9,6,5,3,2
4,7,10,11,14,1,8,12,13,9,6,5,3,2
4,7,10,11,14,1,8,12,13,9,6,5,3,2
