Auckland City FC,Canterbury United,Eastern Suburbs,Hamilton Wanderers,Hawkes Bay United FC,Southern United,Tasman United,Team Wellington,Waitakere United,Wellington Phoenix R
1,10,9,6,5,7,3,2,8,4
1,6,4,10,2,9,7,5,3,8
1,6,5,10,3,9,7,2,4,8
1,4,6,10,2,9,7,3,5,8
1,3,6,9,2,10,8,4,5,7
1,3,6,9,2,10,8,4,5,7
1,3,5,9,2,10,8,4,6,7
1,3,5,9,2,10,8,4,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
1,4,5,9,2,10,8,3,6,7
