AIK Solna,Degerfors,Djurgardens,Hacken,Halmstads BK,Hammarby IF,IF Elfsborg,IFK Goteborg,IFK Norrkoping,Kalmar FF,Malmo FF,Mjallby AIF,Orebro SK,Ostersunds FK,Sirius,Varbergs BoIS
2,6,10,5,8,16,3,11,4,15,1,9,7,13,12,14
2,12,7,5,14,9,3,8,4,11,1,6,16,15,13,10
2,12,7,6,13,9,3,11,4,10,1,5,15,16,14,8
2,13,7,11,6,8,3,9,4,10,1,5,15,16,14,12
3,13,6,11,5,8,4,9,7,10,1,2,16,15,14,12
4,13,6,11,5,8,2,10,7,9,1,3,16,15,14,12
5,13,7,12,6,8,2,10,4,9,1,3,16,15,14,11
3,13,7,12,6,8,2,10,5,9,1,4,15,16,14,11
3,14,8,12,7,9,2,10,5,6,1,4,16,15,13,11
2,14,9,12,8,6,3,10,5,7,1,4,16,15,13,11
2,14,6,11,9,4,3,10,7,8,1,5,15,16,13,12
2,13,5,12,9,6,3,10,7,8,1,4,15,16,14,11
2,13,5,11,7,6,3,10,8,9,1,4,15,16,14,12
2,13,5,11,8,6,3,10,7,9,1,4,15,16,14,12
2,14,5,11,8,7,3,10,6,9,1,4,15,16,13,12
2,14,5,11,9,7,3,10,6,8,1,4,15,16,13,12
2,14,6,11,9,5,3,10,7,8,1,4,15,16,13,12
2,14,6,11,9,5,3,10,7,8,1,4,15,16,13,12
2,14,6,11,9,4,3,10,7,8,1,5,15,16,13,12
2,14,6,11,9,4,3,10,7,8,1,5,15,16,13,12
2,13,5,11,10,4,3,9,7,8,1,6,15,16,14,12
2,13,5,9,11,4,3,10,7,8,1,6,16,15,14,12
2,13,5,9,11,4,3,10,7,8,1,6,16,15,14,12
2,14,4,9,11,5,3,10,7,8,1,6,16,15,13,12
2,14,4,10,11,5,3,9,7,8,1,6,16,15,13,12
2,14,4,10,11,5,3,9,7,8,1,6,16,15,13,12
2,14,3,10,12,5,4,9,7,8,1,6,16,15,13,11
2,14,3,10,12,5,4,9,7,8,1,6,16,15,13,11
2,14,3,10,12,5,4,9,7,8,1,6,16,15,13,11
2,14,3,10,12,5,4,9,7,8,1,6,16,15,13,11
