Aldosivi,Argentinos Juniors,Arsenal Sarandi,Atletico Tucuman,Barracas Central,Boca Juniors,CA Banfield,CA Colon,CA Lanus,CD Godoy Cruz,Central Cordoba,Defensa y Justicia,Estudiantes,GyE La Plata,Huracan,Independiente,Newells Old Boys,Patronato,Platense,Racing Club,River Plate,Rosario Central,San Lorenzo,Sarmiento de Junin,Talleres Cordoba,Tigre,Union de Santa Fe,Velez Sarsfield
27,10,14,21,3,17,8,25,26,7,22,24,28,11,4,13,20,12,9,2,1,6,23,18,16,5,19,15
26,6,19,3,5,11,18,27,28,17,24,23,25,8,4,16,13,10,15,2,1,14,12,21,9,7,22,20
27,6,19,2,8,12,18,28,25,17,23,24,26,7,5,15,13,11,14,3,1,16,4,22,10,9,20,21
28,7,19,2,9,12,15,25,27,17,23,24,26,6,5,14,13,11,16,3,1,18,4,21,10,8,20,22
28,8,17,1,9,12,15,26,27,19,23,18,25,7,6,16,13,4,14,5,2,20,3,24,11,10,21,22
27,8,17,1,13,11,16,25,28,19,24,18,26,7,6,15,12,4,14,5,2,20,3,23,10,9,21,22
28,10,17,1,8,12,15,25,27,19,24,18,26,7,6,16,13,5,14,4,3,20,2,23,9,11,21,22
28,10,17,1,9,12,15,25,27,19,23,18,26,8,7,16,13,4,14,5,3,21,2,22,6,11,24,20
28,10,17,1,7,13,15,25,27,20,21,18,26,9,6,16,11,4,14,5,2,22,3,23,8,12,24,19
28,12,17,1,7,13,15,25,27,20,23,18,26,10,5,16,11,6,14,4,2,22,3,21,8,9,24,19
28,12,18,1,7,10,15,26,27,21,24,16,25,11,5,17,13,6,14,4,3,22,2,23,8,9,19,20
28,14,18,1,7,9,16,26,27,21,22,12,25,11,6,17,13,5,15,2,4,23,3,24,8,10,19,20
28,14,18,1,7,9,16,26,27,21,23,12,25,11,6,17,13,5,15,2,4,22,3,24,8,10,19,20
28,10,20,2,8,7,16,26,27,22,23,14,25,13,6,18,15,5,12,1,4,19,3,24,9,11,17,21
28,11,19,2,9,8,16,26,27,22,23,15,25,14,6,18,10,5,13,1,4,17,3,24,7,12,20,21
28,12,20,2,8,9,16,26,27,22,24,15,25,10,7,19,11,5,14,1,4,17,3,23,6,13,18,21
28,10,19,2,7,11,16,26,27,20,23,15,25,12,6,18,13,5,14,1,4,22,3,24,8,9,17,21
28,11,19,2,7,12,16,26,27,20,23,15,25,13,6,18,10,5,14,1,4,22,3,24,8,9,17,21
28,10,19,2,7,9,15,26,27,21,23,16,25,12,5,18,13,6,14,1,4,20,3,24,8,11,17,22
28,10,19,2,8,7,14,26,27,21,23,15,25,12,6,17,13,5,16,1,4,20,3,24,9,11,18,22
28,10,18,2,8,7,15,26,27,21,23,13,25,12,6,17,14,5,16,1,4,20,3,24,9,11,19,22
28,8,18,2,10,7,16,26,27,22,23,14,25,13,6,17,15,5,12,1,4,20,3,24,11,9,19,21
28,7,18,2,12,8,16,27,26,22,23,15,25,14,5,17,11,6,13,1,4,20,3,24,9,10,19,21
28,9,19,2,11,8,16,27,26,22,24,15,25,13,5,17,10,6,14,1,4,20,3,23,7,12,18,21
28,7,19,2,13,9,16,27,26,23,25,15,21,11,5,18,12,6,14,1,4,20,3,24,8,10,17,22
28,7,19,2,13,8,16,27,26,23,25,15,20,11,5,18,12,6,14,1,4,21,3,24,10,9,17,22
28,8,19,2,13,7,16,26,27,23,25,14,21,11,5,18,12,6,15,1,4,20,3,24,10,9,17,22
28,8,19,2,14,7,17,26,27,24,22,12,21,10,5,16,13,6,15,1,4,20,3,25,11,9,18,23
28,8,19,2,15,7,17,26,27,23,22,12,21,10,5,16,13,6,14,1,4,20,3,24,11,9,18,25
28,8,17,2,15,7,18,26,27,23,21,13,22,10,5,16,12,6,14,1,4,20,3,24,11,9,19,25
28,9,17,3,16,8,18,26,27,24,21,13,22,10,5,15,12,6,14,1,2,19,4,23,11,7,20,25
28,8,17,3,16,7,19,26,27,25,22,13,23,10,5,15,12,6,14,1,2,20,4,21,11,9,18,24
28,7,17,3,16,9,19,26,27,24,22,13,23,10,5,15,11,6,14,1,2,20,4,21,12,8,18,25
28,9,17,3,16,8,19,27,26,24,22,13,23,10,5,15,11,6,14,1,2,20,4,21,12,7,18,25
28,8,17,3,16,7,19,26,27,21,24,13,25,10,5,15,12,6,14,1,2,20,4,22,11,9,18,23
28,8,17,4,16,6,19,26,27,23,22,13,25,10,3,14,11,7,15,1,2,20,5,24,12,9,18,21
28,7,16,4,17,6,19,26,27,23,21,13,25,10,3,14,11,8,15,1,2,20,5,24,12,9,18,22
28,7,15,4,17,6,19,26,27,23,21,13,25,10,3,14,11,9,16,1,2,20,5,24,12,8,18,22
28,6,15,4,17,7,19,26,27,24,21,13,25,10,3,14,11,9,16,1,2,20,5,22,12,8,18,23
28,6,15,4,17,7,21,26,27,24,20,13,25,9,3,14,11,10,16,1,2,22,5,18,12,8,19,23
28,6,15,4,18,8,23,26,27,24,19,13,25,9,3,14,11,10,16,2,1,20,5,17,12,7,21,22
28,6,15,4,19,9,24,26,27,20,18,13,25,8,3,14,11,10,16,2,1,22,5,17,12,7,23,21
28,6,16,4,17,9,24,26,27,20,23,13,25,8,3,14,11,10,15,2,1,21,5,18,12,7,22,19
28,6,15,4,19,9,24,26,27,21,18,13,25,8,3,14,11,10,16,2,1,22,5,20,12,7,23,17
28,6,15,4,20,9,24,26,27,19,17,14,25,8,3,13,11,10,16,2,1,22,5,21,12,7,23,18
28,7,15,5,22,9,24,26,27,20,17,14,25,8,3,13,11,10,16,2,1,21,6,19,12,4,23,18
28,7,15,5,22,9,24,26,27,20,17,14,25,8,3,13,11,10,16,2,1,21,6,19,12,4,23,18
28,7,15,5,22,9,24,26,27,20,17,14,25,8,3,13,11,10,16,2,1,21,6,19,12,4,23,18
28,7,15,5,22,9,24,26,27,20,17,14,25,8,3,13,11,10,16,2,1,21,6,19,12,4,23,18
28,7,15,5,22,9,24,26,27,19,17,14,25,8,3,13,11,10,16,2,1,21,6,20,12,4,23,18
28,7,15,5,22,9,24,26,27,19,18,14,25,8,3,13,11,10,16,2,1,21,6,20,12,4,23,17
28,7,15,5,22,9,24,26,27,19,17,14,25,8,3,13,11,10,16,2,1,21,6,20,12,4,23,18
28,7,15,5,22,9,24,26,27,19,17,14,25,8,3,13,11,10,16,2,1,21,6,20,12,4,23,18
28,7,15,5,22,9,23,26,27,19,17,14,25,8,3,13,11,10,16,2,1,21,6,20,12,4,24,18
