Brusque - SC,Centro Sportivo Alagoano,Chapecoense,Clube Nautico,Clube de Regatas Brasil,Criciuma Esporte Clube,Cruzeiro Esporte Clube,Esporte Clube Bahia,Gremio Novorizontino,Gremio Porto Alegre,Guarani FC,Ituano - SP,Londrina Esporte Clube,Operario Ferroviario ,Ponte Preta,Sampaio Correa FC,Sport Club Recife,Tombense - MG,Vasco da Gama,Vila Nova FC GO
9,16,2,20,19,5,1,11,18,14,15,4,12,17,7,6,3,8,10,13
3,18,8,20,17,7,2,5,14,4,11,13,10,15,16,9,6,12,1,19
4,18,12,20,15,9,3,2,13,5,10,8,16,19,17,6,7,11,1,14
5,17,4,20,18,9,3,2,16,6,14,8,11,19,13,7,10,15,1,12
7,17,4,20,18,10,3,2,16,6,14,9,12,19,5,8,11,15,1,13
7,17,4,20,18,9,3,1,16,8,14,10,12,19,6,11,5,15,2,13
7,17,4,20,18,9,3,1,16,8,15,10,13,19,6,12,5,11,2,14
8,17,4,20,19,10,3,1,16,7,15,11,9,18,6,13,5,12,2,14
10,16,3,20,17,11,5,1,18,7,15,12,8,19,6,14,4,13,2,9
10,17,5,20,16,13,4,1,18,9,15,12,7,19,6,14,3,11,2,8
11,17,5,20,16,9,4,2,18,10,15,13,7,19,6,14,3,12,1,8
10,17,5,20,16,8,4,1,18,9,15,13,7,19,6,14,3,12,2,11
10,17,6,20,16,9,4,1,18,5,15,13,8,19,7,14,3,12,2,11
10,17,8,20,16,7,3,1,18,5,15,13,6,19,9,14,4,12,2,11
11,17,7,20,16,6,3,1,18,5,15,13,8,19,9,14,4,12,2,10
11,18,7,20,17,6,3,1,19,5,15,12,9,16,8,14,4,13,2,10
11,18,7,19,17,6,3,1,20,5,15,12,9,16,8,13,4,14,2,10
12,19,7,18,16,6,3,1,20,5,15,10,9,17,8,14,4,13,2,11
13,17,7,19,16,6,3,1,20,4,15,10,9,18,8,14,5,11,2,12
14,17,7,20,16,6,3,1,19,4,15,10,8,18,9,12,5,13,2,11
14,17,7,20,16,6,3,1,19,5,15,9,10,18,8,12,4,13,2,11
14,17,7,20,16,6,3,1,19,5,15,9,10,18,8,11,4,13,2,12
14,18,7,20,17,6,3,1,16,5,15,9,10,19,8,11,4,13,2,12
14,18,7,20,17,6,2,1,16,5,15,8,9,19,10,11,4,12,3,13
14,18,7,19,17,6,2,1,16,4,15,9,8,20,10,11,5,12,3,13
15,18,8,20,17,6,1,2,16,4,14,9,7,19,10,11,5,12,3,13
16,18,9,20,17,5,1,2,14,4,15,8,7,19,10,11,6,13,3,12
16,18,10,20,17,5,1,2,14,3,15,7,8,19,11,9,6,13,4,12
17,18,10,20,16,4,1,2,14,3,15,7,9,19,11,8,6,13,5,12
17,18,10,20,16,4,1,3,15,2,14,7,9,19,11,8,6,13,5,12
18,17,10,20,16,4,1,3,15,2,14,7,9,19,11,8,6,13,5,12
18,17,10,20,16,4,1,3,14,2,15,6,9,19,11,8,7,13,5,12
18,17,10,20,16,4,1,3,13,2,15,6,9,19,11,7,8,14,5,12
18,17,10,20,16,4,1,3,14,2,12,6,9,19,11,7,8,15,5,13
18,17,10,20,16,4,1,3,14,2,12,6,9,19,11,7,8,15,5,13
18,17,10,20,15,4,1,3,13,2,12,6,9,19,11,7,8,16,5,14
18,17,10,20,15,4,1,3,12,2,13,6,9,19,11,7,8,16,5,14
18,17,11,20,15,4,1,3,10,2,13,6,9,19,12,7,8,16,5,14
