Aalborg,Aarhus,Brondby,FC Kobenhavn,Horsens,Lyngby,Midtjylland,Nordsjalland,Odense,Randers FC,Silkeborg,Viborg
11,6,10,4,5,12,2,1,9,3,7,8
10,5,11,7,3,12,1,2,9,8,4,6
11,6,10,7,2,12,3,1,9,8,5,4
11,5,10,6,3,12,2,1,9,8,7,4
11,5,10,6,4,12,3,1,9,8,7,2
11,6,10,4,5,12,3,1,9,8,7,2
11,6,8,3,5,12,4,1,10,9,7,2
11,6,10,3,5,12,4,1,7,9,8,2
11,6,10,3,5,12,4,1,8,9,7,2
11,6,10,2,5,12,4,1,9,8,7,3
11,6,10,2,5,12,4,1,9,8,7,3
11,6,10,2,4,12,5,1,9,8,7,3
11,7,10,2,5,12,4,1,8,9,6,3
11,6,10,2,5,12,4,1,8,9,7,3
11,6,10,2,5,12,4,1,9,8,7,3
11,6,10,2,5,12,4,1,9,8,7,3
11,7,10,2,5,12,4,1,9,8,6,3
11,7,10,2,4,12,5,1,9,8,6,3
11,7,10,2,5,12,4,1,9,8,6,3
11,7,10,2,6,12,4,1,9,8,5,3
11,6,10,2,5,12,4,1,9,8,7,3
11,6,10,2,5,12,4,1,9,8,7,3
