ASO Chlef,Biskra,CR Belouizdad,CS Constantine,Chelghoum Laid,ES Setif,El Bayadh,JS Kabylie,JS Saoura,Khenchela,MC Alger,MC Oran,Magra,Paradou AC,RC Arbaa,USM Alger
15,8,2,1,16,7,12,4,6,13,11,10,14,9,5,3
12,4,2,1,16,9,8,6,5,14,7,13,11,15,10,3
9,5,2,1,16,13,6,7,4,14,8,10,11,15,12,3
4,7,2,1,16,12,8,9,3,14,10,13,11,15,5,6
4,8,2,1,16,12,9,10,5,14,11,13,6,15,3,7
5,8,2,1,16,12,9,10,6,14,11,13,4,15,3,7
7,8,2,1,16,11,9,13,6,14,10,12,4,15,3,5
7,8,2,1,16,11,9,13,5,14,10,12,4,15,3,6
7,8,2,1,16,11,9,12,5,14,10,13,4,15,3,6
8,7,2,1,16,12,10,9,6,14,11,13,4,15,3,5
7,8,1,2,16,13,12,9,6,10,11,14,4,15,3,5
7,8,2,1,16,12,11,9,5,13,10,14,4,15,3,6
7,8,2,1,16,12,11,9,5,13,10,14,4,15,3,6
7,8,1,2,16,12,11,9,5,13,10,14,4,15,3,6
8,7,1,2,16,13,12,11,5,14,9,10,4,15,3,6
8,7,1,2,16,11,10,13,5,14,9,12,4,15,3,6
8,7,1,2,16,10,12,11,5,14,9,13,4,15,3,6
12,7,1,2,16,11,9,8,5,13,10,14,4,15,3,6
13,7,1,2,16,9,10,8,5,12,11,14,3,15,4,6
14,7,1,2,16,9,10,8,3,12,11,13,5,15,6,4
14,7,1,2,16,8,11,9,3,10,12,13,5,15,6,4
14,8,1,2,16,7,13,9,3,11,10,12,5,15,6,4
14,8,1,2,16,7,11,9,3,13,12,10,5,15,6,4
14,8,1,2,16,7,12,10,3,13,9,11,5,15,6,4
15,8,1,2,16,7,9,11,3,13,10,12,5,14,6,4
15,8,1,3,16,7,10,12,2,13,9,11,5,14,6,4
15,8,1,2,16,7,9,12,3,13,10,11,5,14,6,4
15,8,1,2,16,6,9,12,3,13,10,11,5,14,7,4
15,8,1,2,16,6,9,13,3,12,10,11,5,14,7,4
15,8,1,3,16,4,9,13,2,12,10,11,6,14,7,5
