AEK,Aris,Asteras Tripolis,Atromitos,Giannina,Ionikos,Lamia FC,Levadeiakos,OFI Heraklion,Olympiakos Piraeus,PAOK,Panathinaikos,Panetolikos,Volos NFC
3,5,10,9,11,12,14,13,8,2,4,1,6,7
3,6,9,10,13,11,14,12,8,2,4,1,7,5
2,5,9,7,11,12,14,13,8,4,3,1,6,10
3,5,9,7,11,12,14,13,8,4,1,2,6,10
3,5,9,7,11,12,14,13,8,4,1,2,6,10
3,4,9,6,11,12,14,13,8,5,1,2,7,10
3,5,10,7,11,12,14,13,9,4,2,1,8,6
3,5,10,7,11,13,14,12,9,4,2,1,8,6
2,5,10,6,11,13,14,12,9,3,4,1,8,7
1,5,10,6,11,12,14,13,9,4,2,3,8,7
1,5,11,6,8,12,14,13,10,4,2,3,9,7
1,5,11,6,8,12,14,13,10,4,3,2,9,7
1,5,10,7,11,12,14,13,9,4,2,3,8,6
1,5,10,6,11,12,14,13,8,4,2,3,9,7
1,5,8,6,11,12,14,13,9,4,2,3,10,7
2,5,8,6,10,12,14,13,9,4,1,3,11,7
1,5,8,6,10,12,14,13,9,4,3,2,11,7
1,5,9,6,10,12,14,13,11,3,4,2,8,7
1,5,11,6,9,12,14,13,10,2,4,3,8,7
1,5,11,6,9,12,14,13,10,2,4,3,8,7
1,5,10,6,9,12,14,13,11,2,4,3,8,7
1,5,10,6,9,12,14,13,11,2,4,3,8,7
1,5,10,6,9,12,14,13,11,2,4,3,8,7
1,5,11,6,10,12,14,13,9,2,4,3,8,7
1,5,11,6,10,12,14,13,9,2,4,3,8,7
1,5,11,6,10,12,14,13,9,2,4,3,8,7
