Ascoli,Bari 1908,Benevento,Brescia,Cagliari,Cittadella,Como,Cosenza,FC Sudtirol,Frosinone,Genoa,Modena,Palermo,Parma,Perugia,Pisa,Reggina,SPAL Ferrara,Ternana,Venezia
12,5,20,18,9,19,14,17,8,2,6,3,11,1,16,10,4,13,7,15
13,3,16,20,7,18,12,19,9,1,5,6,10,2,14,11,4,15,8,17
15,3,16,20,8,18,17,19,9,1,7,5,10,2,13,11,4,12,6,14
14,3,13,20,9,17,16,19,8,1,6,5,11,2,15,10,4,12,7,18
15,3,13,20,8,17,14,19,9,1,6,5,11,2,16,10,4,12,7,18
14,3,12,19,11,17,15,20,9,1,6,7,5,2,16,10,4,13,8,18
14,2,13,19,11,17,16,20,10,1,6,5,8,3,15,7,4,12,9,18
12,3,13,19,11,15,9,20,10,1,5,6,8,2,17,7,4,16,14,18
12,3,13,19,11,15,9,20,10,1,7,5,6,2,17,8,4,16,14,18
9,3,13,19,12,15,10,20,11,1,7,5,6,2,17,8,4,16,14,18
9,3,11,19,13,16,10,20,12,1,7,5,6,2,18,8,4,14,15,17
9,2,11,19,13,16,10,20,12,1,7,5,6,3,18,8,4,14,15,17
9,2,11,19,13,15,10,20,12,1,7,4,6,3,18,8,5,14,17,16
9,2,11,19,14,15,10,20,13,1,7,4,6,3,17,8,5,12,18,16
9,2,12,19,15,16,10,20,14,1,6,4,7,3,17,8,5,13,18,11
9,2,13,19,15,16,11,20,14,1,6,4,8,3,17,7,5,10,18,12
10,2,14,19,12,16,9,20,15,1,6,4,8,3,17,7,5,11,18,13
10,2,15,19,12,17,9,20,16,1,5,3,8,4,13,6,7,11,18,14
9,2,16,19,13,17,10,20,12,1,5,3,8,4,14,6,7,11,18,15
9,2,11,19,14,17,10,20,13,1,5,3,8,4,15,6,7,12,18,16
10,2,12,19,9,17,11,20,14,1,5,3,8,4,15,6,7,13,18,16
10,2,14,19,9,17,13,20,12,1,5,3,8,6,15,4,7,11,18,16
11,2,15,19,9,17,14,20,10,1,5,4,8,7,16,3,6,13,18,12
12,2,16,19,9,17,14,20,10,1,4,6,8,7,15,3,5,11,18,13
12,2,16,19,10,18,14,20,9,1,6,5,8,7,15,3,4,11,17,13
13,2,16,19,10,18,15,20,9,1,6,5,8,7,11,4,3,12,17,14
13,2,16,19,10,18,15,20,9,1,5,6,8,7,11,4,3,12,17,14
13,2,16,19,10,18,15,20,9,1,5,6,8,7,12,4,3,11,17,14
13,2,16,19,9,18,15,20,10,1,5,6,8,7,11,4,3,12,17,14
13,2,16,19,9,18,15,20,10,1,5,6,8,7,11,4,3,12,17,14
13,2,17,19,9,18,16,20,10,1,5,6,8,7,11,4,3,12,14,15
13,2,17,19,10,18,16,20,8,1,5,6,9,7,11,4,3,12,14,15
13,2,15,20,10,18,17,19,8,1,5,6,9,7,11,4,3,12,14,16
14,2,15,19,10,18,17,20,8,1,5,6,9,7,12,4,3,13,11,16
14,2,15,19,10,18,17,20,8,1,5,6,9,7,12,4,3,13,11,16
14,2,15,19,10,18,17,20,8,1,5,6,9,7,12,4,3,13,11,16
14,2,15,19,10,18,17,20,8,1,5,6,9,7,12,4,3,13,11,16
14,2,15,19,10,18,17,20,8,1,5,6,9,7,12,4,3,13,11,16
