Daegu FC,FC Seoul,Gangwon FC,Gimcheon Sangmu,Incheon United,Jeju United,Jeonbuk FC,Pohang Steelers,Seongnam FC,Suwon Bluewings,Suwon City FC,Ulsan Hyundai
10,11,6,12,2,7,1,3,9,5,8,4
12,5,9,6,3,7,1,4,11,10,8,2
11,6,8,7,3,5,1,4,12,10,9,2
11,6,5,8,3,7,1,4,12,10,9,2
11,7,5,6,3,8,1,4,12,10,9,2
11,8,5,7,3,6,1,4,12,10,9,2
10,8,5,7,4,6,1,3,12,11,9,2
7,10,9,4,6,8,1,3,12,11,5,2
7,10,9,5,3,8,1,4,12,11,6,2
8,10,5,6,4,9,1,3,12,11,7,2
8,10,6,7,4,5,1,3,12,11,9,2
8,10,6,7,3,5,1,4,12,11,9,2
8,11,6,7,4,5,1,3,12,10,9,2
8,11,6,7,4,5,2,3,12,10,9,1
8,11,6,7,4,5,2,3,12,10,9,1
8,11,7,4,5,6,2,3,12,9,10,1
9,8,7,4,5,6,2,3,12,10,11,1
8,10,7,6,4,5,2,3,12,11,9,1
8,10,7,6,4,5,2,3,12,11,9,1
8,10,7,6,4,5,2,3,12,11,9,1
8,10,7,6,4,5,2,3,12,11,9,1
8,10,7,6,4,5,2,3,12,11,9,1
