Difaa Jadida,FAR de Rabat,FUS de Rabat,Hassania US Agadir,Ittihad Tanger,Jeunesse Sportive Soualem,Maghrib de Fes,Moghreb de Tetouan,Mouloudia Oujda,Olympique de Khouribga,Olympique de Safi,Raja Casablanca,Renaissance de Berkane,SC Chabab Mohammedia,Union de Touarga,Wydad AC
4,1,6,9,15,13,5,16,7,14,10,11,3,2,12,8
8,1,4,9,15,13,12,16,11,14,6,3,2,7,10,5
7,1,2,8,16,13,11,14,12,15,5,3,6,9,10,4
10,1,2,7,16,8,11,13,14,15,5,3,6,12,9,4
14,1,2,9,16,7,10,12,13,15,5,3,6,11,8,4
14,1,2,9,16,7,10,13,12,15,5,3,6,11,8,4
13,1,2,9,16,7,10,14,12,15,5,3,6,11,8,4
12,1,2,11,16,7,10,14,8,15,5,3,6,13,9,4
7,1,2,12,16,8,11,14,9,15,5,3,6,13,10,4
8,1,3,12,16,9,7,14,10,15,5,2,6,13,11,4
9,1,3,12,16,8,6,14,11,15,5,2,7,13,10,4
11,1,3,12,16,8,7,14,10,15,5,2,6,13,9,4
11,1,2,12,16,9,7,14,10,15,5,3,6,13,8,4
11,1,2,12,16,9,7,14,10,15,5,3,6,13,8,4
11,1,2,13,16,8,7,14,10,15,5,3,6,12,9,4
11,1,2,13,16,8,7,14,10,15,5,3,6,12,9,4
10,1,2,13,16,8,6,14,12,15,5,3,7,11,9,4
11,2,1,13,16,7,6,14,10,15,5,3,8,12,9,4
11,2,1,12,16,8,7,13,10,15,5,3,6,14,9,4
11,1,2,12,16,8,7,13,10,15,5,3,6,14,9,4
11,1,2,12,16,8,7,13,10,15,5,3,6,14,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
11,1,2,13,16,8,7,14,10,15,5,3,6,12,9,4
11,1,2,12,16,8,7,13,10,15,5,3,6,14,9,4
11,1,2,12,16,8,7,13,10,15,5,3,6,14,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
11,1,2,12,16,8,7,14,10,15,5,3,6,13,9,4
