Arouca,Benfica,Boavista,Casa Pia AC,Chaves,Estoril,Famalicao,Gil Vicente,Guimaraes,Maritimo,Pacos Ferreira,Portimonense,Porto,Rio Ave,Santa Clara,Sporting Braga,Sporting Lisbon,Vizela
17,1,12,10,6,5,7,13,8,16,18,9,2,11,3,4,14,15
11,1,13,10,5,9,8,16,6,18,17,15,2,14,12,3,4,7
10,1,14,9,5,12,7,13,8,17,18,15,2,11,16,3,4,6
10,1,15,11,5,6,8,13,9,17,18,14,2,12,16,3,4,7
11,1,14,10,7,12,9,13,8,17,18,15,2,5,16,3,4,6
12,1,13,11,7,5,10,14,9,17,18,15,2,6,16,3,4,8
12,1,13,11,7,6,9,14,10,17,18,16,2,5,15,3,4,8
11,1,13,10,12,6,8,15,9,17,18,14,2,5,16,3,4,7
11,1,13,10,12,6,8,15,9,17,18,14,2,5,16,4,3,7
10,1,13,9,11,6,12,15,8,17,18,14,2,5,16,4,3,7
11,1,13,10,12,6,9,15,8,17,18,14,2,5,16,4,3,7
12,1,14,11,7,6,9,15,10,18,17,16,2,5,13,3,4,8
13,1,16,6,8,7,12,11,10,18,17,15,2,5,14,3,4,9
13,1,16,9,6,7,8,12,11,18,17,15,2,5,14,3,4,10
13,1,16,7,6,9,10,11,12,18,17,14,2,5,15,3,4,8
13,1,16,8,6,9,10,11,12,18,17,14,2,5,15,3,4,7
14,1,13,7,6,8,10,11,12,18,17,16,2,5,15,3,4,9
12,1,14,7,8,9,10,11,13,17,18,16,2,5,15,3,4,6
12,1,13,6,7,8,10,15,11,18,17,16,2,5,14,3,4,9
14,1,11,6,8,9,10,15,13,18,17,16,2,5,12,3,4,7
13,1,10,7,8,9,14,16,12,18,17,15,2,5,11,3,4,6
13,1,10,7,8,9,14,16,11,18,17,15,2,6,12,3,4,5
11,1,12,7,8,9,16,15,10,17,18,13,2,6,14,3,4,5
11,1,13,8,6,10,12,14,9,17,18,15,2,7,16,3,4,5
10,1,14,6,7,11,13,12,9,17,18,15,2,8,16,3,4,5
9,1,14,6,7,11,12,13,10,17,18,15,2,8,16,3,4,5
9,1,13,6,7,11,12,14,10,18,17,15,2,8,16,3,4,5
10,1,11,6,7,12,13,14,9,17,18,15,2,8,16,3,4,5
10,1,11,6,7,12,13,14,9,17,18,15,2,8,16,3,4,5
10,1,11,6,7,12,13,14,9,17,18,15,2,8,16,4,3,5
10,1,11,6,8,12,13,14,7,17,18,15,2,9,16,4,3,5
8,1,11,6,9,12,13,14,7,17,18,15,2,10,16,4,3,5
7,1,11,6,9,12,13,14,8,17,18,15,2,10,16,4,3,5
7,1,11,6,9,12,13,14,8,17,18,15,2,10,16,3,4,5
